rgb,r,g,b,Label
"0,18,69",0,18,69,brightBlue
"2,32,88",2,32,88,brightBlue
"0,62,146",0,62,146,brightBlue
"0,57,142",0,57,142,brightBlue
"1,57,133",1,57,133,brightBlue
"1,50,127",1,50,127,brightBlue
"0,55,137",0,55,137,brightBlue
"1,61,146",1,61,146,brightBlue
"0,60,148",0,60,148,brightBlue
"0,20,74",0,20,74,brightBlue
"0,59,142",0,59,142,brightBlue
"0,65,154",0,65,154,brightBlue
"2,63,150",2,63,150,brightBlue
"0,28,78",0,28,78,brightBlue
"0,18,62",0,18,62,brightBlue
"0,17,64",0,17,64,brightBlue
"1,58,137",1,58,137,brightBlue
"1,66,148",1,66,148,brightBlue
"0,67,153",0,67,153,brightBlue
"5,37,99",5,37,99,brightBlue
"0,51,131",0,51,131,brightBlue
"1,56,139",1,56,139,brightBlue
"0,54,132",0,54,132,brightBlue
"0,25,83",0,25,83,brightBlue
"0,28,84",0,28,84,brightBlue
"0,22,71",0,22,71,brightBlue
"0,63,150",0,63,150,brightBlue
"0,18,67",0,18,67,brightBlue
"0,15,64",0,15,64,brightBlue
"0,59,141",0,59,141,brightBlue
"0,53,140",0,53,140,brightBlue
"0,64,154",0,64,154,brightBlue
"1,73,151",1,73,151,brightBlue
"1,59,141",1,59,141,brightBlue
"0,54,136",0,54,136,brightBlue
"0,52,130",0,52,130,brightBlue
"0,53,132",0,53,132,brightBlue
"0,53,131",0,53,131,brightBlue
"0,53,131",0,53,131,brightBlue
"0,54,136",0,54,136,brightBlue
"0,29,89",0,29,89,brightBlue
"0,29,89",0,29,89,brightBlue
"1,59,141",1,59,141,brightBlue
"0,47,122",0,47,122,brightBlue
"2,30,85",2,30,85,brightBlue
"0,61,146",0,61,146,brightBlue
"5,38,86",5,38,86,brightBlue
"0,62,147",0,62,147,brightBlue
"12,44,81",12,44,81,brightBlue
"1,62,146",1,62,146,brightBlue
"0,56,139",0,56,139,brightBlue
"0,56,139",0,56,139,brightBlue
"0,52,130",0,52,130,brightBlue
"0,24,70",0,24,70,brightBlue
"0,26,76",0,26,76,brightBlue
"0,53,133",0,53,133,brightBlue
"0,23,79",0,23,79,brightBlue
"1,56,139",1,56,139,brightBlue
"1,32,93",1,32,93,brightBlue
"52,85,116",52,85,116,brightBlue
"0,57,131",0,57,131,brightBlue
"3,27,73",3,27,73,brightBlue
"1,53,137",1,53,137,brightBlue
"0,20,72",0,20,72,brightBlue
"0,17,77",0,17,77,brightBlue
